platform,sold_id,listing_id,canonical_sku,sold_at,transaction_price,shipping_fee,units,seller_type
TikTok Shop,PHLIVE-202510101748-055,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-10 17:48:00,391.09,0,75,brand
TikTok Shop,PHLIVE-202510111736-054,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-11 17:36:00,333.54,0,46,brand
TikTok Shop,PHLIVE-202510121508-053,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-12 15:08:00,377.0,0,35,brand
TikTok Shop,PHLIVE-202510132156-052,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-13 21:56:00,292.97,0,32,brand
TikTok Shop,PHLIVE-202510141744-051,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-14 17:44:00,357.56,0,39,brand
TikTok Shop,PHLIVE-202510151756-050,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-15 17:56:00,366.1,0,54,brand
TikTok Shop,PHLIVE-202510161755-049,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-16 17:55:00,405.64,0,52,brand
TikTok Shop,PHLIVE-202510171715-048,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-17 17:15:00,314.36,0,26,brand
TikTok Shop,PHLIVE-202510181658-047,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-18 16:58:00,377.73,0,41,brand
TikTok Shop,PHLIVE-202510191724-046,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-19 17:24:00,400.46,0,53,brand
TikTok Shop,PHLIVE-202510201747-045,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-20 17:47:00,564.84,0,22,brand
TikTok Shop,PHLIVE-202510211846-044,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-21 18:46:00,299.26,0,55,brand
TikTok Shop,PHLIVE-202510231159-043,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-23 11:59:00,366.08,0,19,brand
TikTok Shop,PHLIVE-202510241303-042,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-24 13:03:00,421.6,0,20,brand
TikTok Shop,PHLIVE-202510251144-041,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-25 11:44:00,464.12,0,17,brand
TikTok Shop,PHLIVE-202510261544-040,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-26 15:44:00,541.72,0,23,brand
TikTok Shop,PHLIVE-202510271132-039,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-27 11:32:00,912.78,0,19,brand
TikTok Shop,PHLIVE-202510281808-038,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-28 18:08:00,524.17,0,29,brand
TikTok Shop,PHLIVE-202510291206-037,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-29 12:06:00,445.89,0,38,brand
TikTok Shop,PHLIVE-202510301653-036,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-30 16:53:00,471.5,0,32,brand
TikTok Shop,PHLIVE-202510311328-035,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-10-31 13:28:00,406.28,0,21,brand
TikTok Shop,PHLIVE-202511010953-034,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-01 09:53:00,404.44,0,41,brand
TikTok Shop,PHLIVE-202511021732-033,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-02 17:32:00,475.49,0,42,brand
TikTok Shop,PHLIVE-202511031448-032,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-03 14:48:00,605.98,0,16,brand
TikTok Shop,PHLIVE-202511041322-031,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-04 13:22:00,531.65,0,39,brand
TikTok Shop,PHLIVE-202511051646-030,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-05 16:46:00,400.36,0,29,brand
TikTok Shop,PHLIVE-202511061716-029,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-06 17:16:00,325.01,0,35,brand
TikTok Shop,PHLIVE-202511071721-028,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-07 17:21:00,508.92,0,35,brand
TikTok Shop,PHLIVE-202511081315-027,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-08 13:15:00,419.27,0,48,brand
TikTok Shop,PHLIVE-202511091508-026,PH-TTS-UGREEN-LIVE,UGREEN-PH-LIVE-001,2025-11-09 15:08:00,489.59,0,51,brand
