platform,listing_id,canonical_sku,brand,seller_id,captured_at,list_price,sale_price,currency,shipping_fee,rating_avg,review_count,sold_count_window,sales_rank,active_flag,seller_type,fulfillment_type
Amazon,B0BXHZYYDL,B0BXHZYYDL,SIBLYMONA,A3R6KJIKWBWY1F,2024-07-08 00:00:00.000,9.99000000000000000,9.99000000000000000,USD,0,4.7,115,100,7579,true,reseller,unknown
Amazon,B086LL1RQ9,B086LL1RQ9,PAGISOFE,A3RDDDD0Z9CY2Z,2023-08-01 00:00:00.000,0,22.99,USD,0,4.3,25439,382,357,true,reseller,unknown
Amazon,B0BBQG6M9Y,B0BBQG6M9Y,AT-A-GLANCE,ATVPDKIKX0DER,2023-08-16 00:00:00.000,22.69,6.33,USD,0,4.7,625,59,181806,true,reseller,unknown
Amazon,B000UYV0WI,B000UYV0WI,GEDORE,ATVPDKIKX0DER,2024-07-08 00:00:00.000,2.35000000000000001,2.20700000000000001,USD,0,4.4,523,53,254437,false,reseller,unknown
Amazon,B08D8JDSYX,B08D8JDSYX,Bublo Baby,A383381SVRJAZI,2023-08-15 00:00:00.000,11.99,7.99,USD,0,4.7,3046,198,3199,true,reseller,unknown
Amazon,B09YCMHPWN,B09YCMHPWN,Sumind,A2RNOIARUCRCKC,2023-08-16 00:00:00.000,23.99,21.99,USD,0,4.3,206,88,47289,true,reseller,unknown
Amazon,B07K5511N7,B07K5511N7,Wacoal,ATVPDKIKX0DER,2023-05-10 00:00:00.000,36.00,23.42,USD,0,4.2,1173,94,38687,true,reseller,unknown
Amazon,B00S54UH1A,B00S54UH1A,Mustaches,A2TQ5V3BJ4P1WC,2023-08-23 00:00:00.000,44.99,29.99,USD,0,4.5,280,52,282149,true,reseller,unknown
Amazon,B0BX7C1PKZ,B0BX7C1PKZ,Allstar Innovations,ATVPDKIKX0DER,2024-04-20 00:00:00.000,24.99,24.99,USD,0,4.1,94871,1000,521,true,reseller,unknown
Amazon,B0CHYFK238,B0CHYFK238,Ltinist,A1RCFO8HDTXYVX,2024-04-23 00:00:00.000,4.99900000000000001,22.99,USD,0,4.6,2910,100,1625,true,reseller,unknown
Amazon,B09WD9NVG5,B09WD9NVG5,Under Armour,ATVPDKIKX0DER,2023-08-09 00:00:00.000,30,19.3,USD,0,4.7,10438,422,255,true,reseller,unknown
Amazon,B09DKKWRJT,B09DKKWRJT,LIGHT FLIGHT,A3182VHAYXSU6F,2023-08-02 00:00:00.000,21.99,21.99,USD,0,4.5,1322,196,3305,true,reseller,unknown
Amazon,B07ZH5JR1J,B07ZH5JR1J,Zeerkeer,A3QS0HCNNICI2E,2024-01-16 00:00:00.000,66.98,66.98,USD,0,3.3,1168,60,170352,true,reseller,unknown
Amazon,B073SPYFMN,B073SPYFMN,ARTEZA,ATVPDKIKX0DER,2024-01-25 00:00:00.000,33.6,26.99,USD,0,4.8,3813,82,60699,false,reseller,unknown
Amazon,B09HW4QC3Y,B09HW4QC3Y,Kobo,A2WTVCOLVN15GP,2023-08-14 00:00:00.000,189.99,189.99,USD,0,4.4,2959,156,7091,true,reseller,unknown
